Batch,RELEASE,Humidite_finale,Temps_de_granulation,Temps_de_mouillage,Temps_de_melange,Temps_de_sechage,Temperature_enceinte_GRANULATION,Temperature_enceinte_MELANGE,Temperature_enceinte_MOUILLAGE,Temperature_entree_REFROIDISSEMENT,Temperature_entree_SECHAGE,Temperature_sortie_REFROIDISSEMENT,Temperature_sortie_SECHAGE,Debit_air_REFROIDISSEMENT,Debit_air_SECHAGE,Puissance_GRANULATION,Puissance_MELANGE,Puissance_MOUILLAGE,Epaisseur,Pelliculage,Puissance_granulation_max,Puissance_melange_max,Puissance_mouillage_max,duree_pelliculage
5A119,41.5,2.69,0.00118827160493827,0.0003125,0.0014236111111111099,0.0613387345679012,25.2433333333333,15.216666666666699,25.536666666666697,30.4733333333333,58.01,38.97,28.033333333333303,4350.34333333333,4292.4,4.46166666666667,5.47,2.61666666666667,6.117142857142861,9228.0,6.078333333,7.693333332999999,5.763333332999999,9240.0
5A125,43.1666666666667,1.69,0.0012885802469135802,0.000316358024691358,0.0014236111111111099,0.0474103009259259,26.2566666666667,15.83,28.0066666666667,30.2975,56.93,38.3275,28.555,4079.585,3805.5475,4.265,5.31,2.46666666666667,6.1296,8145.0,5.683333332999999,7.306666667000001,5.59,8160.000000000001
5A126,38.1666666666667,1.8,0.00123346560846561,0.0003125,0.0014236111111111099,0.0584529320987654,28.3142857142857,17.143333333333302,32.453333333333305,35.503333333333295,58.4266666666667,38.5166666666667,28.533333333333303,5498.03666666667,4965.0766666666705,4.47714285714286,5.44333333333333,2.37,6.11942857142857,7612.0,5.827142857,7.276666667000001,5.736666667000001,7620.000000000001
5A127,39.5,2.06,0.00133873456790123,0.000329861111111111,0.00142746913580247,0.0781404320987654,28.49,17.286666666666697,30.1375,35.59666666666671,56.22,38.363333333333294,28.033333333333303,5348.39333333333,4021.2866666666705,4.31333333333333,5.60666666666667,2.64,6.114285714285709,7504.0,5.625,7.016666667000001,5.4225,7500.000000000001
6A001,43.5,2.1,0.0012345679012345698,0.000324074074074074,0.00141975308641975,0.0812654320987654,30.766666666666698,20.2366666666667,35.1966666666667,35.4433333333333,55.9833333333333,38.393333333333295,28.32,5284.533333333329,4603.14333333333,4.47166666666667,5.59666666666667,2.45333333333333,6.121,7557.0,5.953333333,7.37,5.873333333,7560.000000000001
6A002,36.8333333333333,1.87,0.00189621913580247,0.000306712962962963,0.00142746913580247,0.0541782407407407,24.735,15.41,25.2416666666667,35.7633333333333,58.26,38.9433333333333,28.11,5659.02333333333,4867.346666666671,4.051666666666669,5.41,2.67666666666667,6.107428571428571,7654.0,5.03,6.986666667000001,4.613333333,7680.000000000001
6A003,41.3333333333333,1.82,0.00105902777777778,0.000316358024691358,0.00142746913580247,0.0611689814814815,26.30625,16.22,26.51,35.3733333333333,58.1533333333333,39.033333333333296,27.893333333333302,5275.64333333333,4599.24,4.41625,5.323333333333331,2.45333333333333,6.10933333333333,,5.99625,7.13,5.676666667,
6A004,41.0,1.74,0.00110918209876543,0.000354938271604938,0.00141975308641975,0.0612268518518518,26.2583333333333,15.966666666666699,26.8166666666667,35.4233333333333,58.47,38.8066666666667,28.033333333333303,5481.2466666666705,4217.43666666667,4.56166666666667,5.32666666666667,2.4766666666666697,6.108857142857139,6853.0,6.251666667,6.973333332999999,5.58,6840.0
6A005,45.0,1.98,0.0013723544973545,0.000327932098765432,0.00141975308641975,0.059633487654321,26.3,16.29,26.713333333333303,35.466666666666704,58.6933333333333,38.393333333333295,28.4033333333333,5390.65,3954.2966666666707,4.39428571428571,5.35666666666667,2.43333333333333,6.10933333333333,6678.0,5.565714286,7.26,5.57,
6A006,39.1666666666667,1.9,0.00111607142857143,0.00030864197530864197,0.00142746913580247,0.0550810185185185,28.5314285714286,17.49,29.283333333333303,36.026666666666706,58.77,38.78,28.8633333333333,5606.26666666667,4250.073333333329,4.51285714285714,5.27666666666667,2.35,6.10266666666667,7961.0,6.098571429,7.11,5.553333332999999,
6A007,43.3333333333333,1.7,0.00095679012345679,0.00030864197530864197,0.0014236111111111099,0.0604475308641975,29.095,17.8433333333333,29.35,35.323333333333295,58.173333333333304,38.5833333333333,27.9766666666667,5498.98,4801.256666666671,4.245,4.90666666666667,2.24333333333333,6.106285714285719,7565.0,6.601666667000001,7.2,5.083333333,
6A008,42.0,1.71,0.00117063492063492,0.000306712962962963,0.0014236111111111099,0.059375,27.32,17.1666666666667,26.935,35.40333333333329,58.55,38.963333333333296,27.95,5133.3,4263.806666666671,4.5157142857142905,4.9666666666666694,2.6275,6.11966666666667,7227.0,5.6857142860000005,6.77,4.9375,
6A009,40.5,1.78,0.0011400462962963,0.000316358024691358,0.00143132716049383,0.0608950617283951,27.3883333333333,17.303333333333303,28.0633333333333,35.35,58.4133333333333,39.1866666666667,27.7766666666667,5332.163333333329,4169.453333333329,5.06166666666667,5.06333333333333,2.40666666666667,6.0988,8086.0,6.725,6.776666667000001,5.333333333,
6A010,42.8333333333333,2.0,0.00129436728395062,0.00032021604938271603,0.00141975308641975,0.0577816358024691,27.393333333333302,16.1,27.35,35.1433333333333,58.41,38.713333333333296,28.536666666666697,5652.61333333333,4433.046666666671,4.79166666666667,4.78,2.14,6.100571428571429,,6.391666667000001,6.953333333,4.903333333,8160.000000000001
6A011,44.6666666666667,1.89,0.00122453703703704,0.000339506172839506,0.0014236111111111099,0.0625501543209876,29.35,17.3133333333333,28.6833333333333,35.0333333333333,58.203333333333305,38.65333333333329,28.2433333333333,5434.733333333329,4394.05,4.99,4.77666666666667,2.2733333333333303,6.106,,6.736000000000001,6.84,4.936666667,7500.000000000001
6A012,42.9166666666667,1.9,0.0015104166666666699,0.000309606481481481,0.0014236111111111099,0.0441521990740741,23.825,14.963333333333301,24.56,30.485,57.655,39.12,29.86,4771.0675,4408.1,4.455,4.7166666666666694,2.3425,6.099428571428571,5108.0,5.856666667000001,6.5766666670000005,4.625,5160.0
6A013,43.6666666666667,1.79,0.00119874338624339,0.00030864197530864197,0.0014236111111111099,0.0554282407407407,24.91,14.906666666666698,27.28,30.003333333333302,58.186666666666696,38.8,27.54,4335.176666666671,4444.13,4.05714285714286,5.176666666666669,2.40333333333333,6.098857142857139,8078.0,5.585714286,7.0,5.45,8100.000000000001
6A014,42.5,1.88,0.00125771604938272,0.000305555555555556,0.00143132716049383,0.0681057098765432,25.215,14.853333333333302,26.436,30.7233333333333,56.4,38.9433333333333,26.9566666666667,4714.45,4410.32,4.12,5.13,2.6719999999999997,6.098,7879.0,5.191666667,6.936666667000001,4.862,7920.000000000001
6A015,44.5,1.72,0.00129243827160494,0.000316358024691358,0.0014236111111111099,0.0548186728395062,26.411666666666697,16.5966666666667,29.18,30.8833333333333,58.57,39.31,28.41,4790.72,4283.31,4.06666666666667,4.97,2.31,6.12433333333334,5872.0,5.396666667000001,7.06,5.22,5880.0
6A016,39.1666666666667,1.78,0.00130952380952381,0.000358796296296296,0.00141975308641975,0.0672839506172839,28.195714285714303,17.83,29.95,31.0433333333333,56.6433333333333,39.2666666666667,27.0,4835.80333333333,4282.4966666666705,4.42285714285714,4.93,2.19,6.108,8392.0,5.631428571,6.75,5.233333333,
6A017,45.1666666666667,2.14,0.00135416666666667,0.00037422839506172796,0.00141975308641975,0.0544174382716049,28.185,17.246666666666698,30.9566666666667,31.0466666666667,58.55,39.4533333333333,28.42,4218.93,4373.93666666667,4.125,4.93333333333333,2.15333333333333,6.09266666666667,7736.0,5.5,6.796666667,5.236666667,
6A018,42.6666666666667,2.12,0.00151234567901235,0.00029899691358024704,0.0014236111111111099,0.0638850308641975,21.48,13.216666666666699,24.5316666666667,31.4033333333333,58.006666666666696,39.32,28.18,4333.573333333329,4348.01,3.97833333333333,4.83333333333333,2.66,6.0935,7254.0,4.96,6.333333333,4.346666667,
6A019,41.8333333333333,2.02,0.00107638888888889,0.000300925925925926,0.00141203703703704,0.0631712962962963,22.295,13.89,25.795,31.42,58.6033333333333,38.9,28.016666666666698,4303.7866666666705,3609.7066666666706,3.965,4.91,3.0,6.09766666666667,7381.0,4.635,6.88,4.9116666669999995,
6A020,47.0,1.97,0.00119598765432099,0.000318287037037037,0.0014236111111111099,0.0634375,23.3616666666667,14.286666666666699,27.02,31.146666666666697,58.64,39.15,28.0,4137.72666666667,3731.3333333333294,4.43666666666667,4.95666666666667,2.6075,6.108,8754.0,5.4516666670000005,6.796666667,5.0325,
6A021,42.6666666666667,1.92,0.00112075617283951,0.00030787037037037,0.00141975308641975,0.0658757716049383,24.5983333333333,15.296666666666699,27.474,30.99,58.58,38.47,27.7366666666667,4406.9633333333295,3641.6166666666704,4.435,4.87333333333333,2.702,6.09733333333333,,5.4516666670000005,6.753333333,4.696000000000001,7200.0
6A022,46.5,2.26,0.00114969135802469,0.0003125,0.0014236111111111099,0.0609567901234568,23.385,14.56,26.8575,31.0633333333333,58.98,38.8266666666667,28.0466666666667,4192.44666666667,4324.046666666671,4.33666666666667,4.87666666666667,2.5975,6.087999999999999,,5.305,6.846666667,4.965,7380.000000000001
